epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,377.003,0.47401,1.85942,1.03578,0.80272,0.81302,0.85662,0.82083,0.28141,0.89134,0.73025,0.00999632,0.00333211,0.00999632,0.00333211,0.00999632,0.00333211,0.00999632,0.00333211
2,644.818,0.4535,0.944,1.00826,0.83406,0.91977,0.93733,0.90333,0.26127,0.57125,0.70018,0.0196004,0.00653346,0.0196004,0.00653346,0.0196004,0.00653346,0.0196004,0.00653346
3,904.831,0.46694,0.88485,1.01646,0.87114,0.88551,0.94776,0.90818,0.30471,0.52296,0.76948,0.0288085,0.00960282,0.0288085,0.00960282,0.0288085,0.00960282,0.0288085,0.00960282
4,1163.77,0.44664,0.79487,1.01823,0.93934,0.92271,0.97648,0.94409,0.28592,0.38857,0.79679,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1421.91,0.41145,0.67316,1.00835,0.94702,0.96079,0.98198,0.94856,0.2775,0.36269,0.81637,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1681.91,0.38971,0.6071,1.00137,0.9539,0.97288,0.98644,0.96255,0.25814,0.30627,0.79724,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1943.05,0.37598,0.56365,0.99847,0.95632,0.97098,0.98696,0.96769,0.24667,0.28113,0.79404,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2209.69,0.3697,0.53581,0.9963,0.96601,0.97613,0.98754,0.96961,0.25022,0.27913,0.80616,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2645.26,0.3617,0.5155,0.99456,0.96987,0.98553,0.99217,0.97858,0.21719,0.23801,0.78421,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3200.57,0.35655,0.49632,0.99211,0.98026,0.97978,0.99125,0.98009,0.21186,0.22149,0.78668,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3480.62,0.35187,0.48004,0.99148,0.97966,0.98594,0.99226,0.98147,0.21916,0.22168,0.78993,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3711.27,0.34509,0.46348,0.9885,0.98755,0.98431,0.99249,0.98147,0.21729,0.21555,0.79016,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3942.39,0.34485,0.4567,0.98868,0.98809,0.98711,0.99306,0.98241,0.24096,0.24004,0.80871,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4172.35,0.33898,0.44912,0.98736,0.98773,0.98603,0.99328,0.9827,0.22402,0.21694,0.79341,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4499.47,0.33626,0.43839,0.98644,0.99059,0.98545,0.99313,0.9826,0.20715,0.20154,0.78497,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
